models_filename;type_model;windows;dim_emb;tag_mse;ref_err_dis_cos;ref_rmse_dis_cos;ref_err_moy_freq;ref_rmse_freq
glove_3_90.kv;glove;3;90;0.1283538854266245;;;;
skipgramm_3_10.kv;skipgramm;3;10;0.11389547794809939;;;;
glove_5_150.kv;glove;5;150;0.12613756841919893;;;;
skipgramm_5_70.kv;skipgramm;5;70;0.1536922612101233;;;;
skipgramm_7_90.kv;skipgramm;7;90;0.1534886555543652;;;;
glove_8_130.kv;glove;8;130;0.1267784119616491;;;;
skipgramm_10_90.kv;skipgramm;10;90;0.15035085684395275;;;;
cbow_2_170.kv;cbow;2;170;0.0882211845755268;;;;
glove_9_90.kv;glove;9;90;0.12853682759095644;;;;
cbow_2_90.kv;cbow;2;90;0.07475175400539393;;;;
glove_10_130.kv;glove;10;130;0.12705728242398695;;;;
cbow_5_70.kv;cbow;5;70;0.10290930504085019;;;;
skipgramm_3_50.kv;skipgramm;3;50;0.1461942873575594;;;;
glove_9_50.kv;glove;9;50;0.13296610285831373;;;;
glove_7_50.kv;glove;7;50;0.13293256118871796;;;;
cbow_8_110.kv;cbow;8;110;0.11868882246478685;;;;
skipgramm_10_150.kv;skipgramm;10;150;0.1527175884798444;;;;
cbow_10_130.kv;cbow;10;130;0.12662775109857952;;;;
cbow_5_110.kv;cbow;5;110;0.11651572607221042;;;;
cbow_8_150.kv;cbow;8;150;0.13255020154828331;;;;
cbow_7_170.kv;cbow;7;170;0.1291932372686417;;;;
skipgramm_5_30.kv;skipgramm;5;30;0.14745583532195736;;;;
skipgramm_10_10.kv;skipgramm;10;10;0.13536362873229854;;;;
skipgramm_10_70.kv;skipgramm;10;70;0.14970188862326586;;;;
cbow_5_10.kv;cbow;5;10;0.06237904791821018;;;;
glove_15_50.kv;glove;15;50;0.13351516268789881;;;;
skipgramm_3_30.kv;skipgramm;3;30;0.13973329946110452;;;;
cbow_10_150.kv;cbow;10;150;0.13064371638149513;;;;
skipgramm_7_130.kv;skipgramm;7;130;0.1547564549142687;;;;
skipgramm_8_30.kv;skipgramm;8;30;0.1453730731303268;;;;
cbow_5_130.kv;cbow;5;130;0.11579644387102801;;;;
cbow_15_110.kv;cbow;15;110;0.12285581716556095;;;;
glove_4_90.kv;glove;4;90;0.12866009458179317;;;;
skipgramm_6_90.kv;skipgramm;6;90;0.1543651136363805;;;;
glove_2_10.kv;glove;2;10;0.17318536960315142;;;;
cbow_7_150.kv;cbow;7;150;0.12529710536668945;;;;
glove_2_110.kv;glove;2;110;0.12753594782366873;;;;
skipgramm_15_130.kv;skipgramm;15;130;0.14974241253915513;;;;
skipgramm_6_110.kv;skipgramm;6;110;0.15535323037097648;;;;
glove_2_150.kv;glove;2;150;0.12645704949336134;;;;
skipgramm_5_190.kv;skipgramm;5;190;0.15779341881195982;;;;
glove_15_90.kv;glove;15;90;0.12817653142418414;;;;
glove_8_30.kv;glove;8;30;0.13948256360274378;;;;
cbow_8_170.kv;cbow;8;170;0.13000800304221558;;;;
glove_2_50.kv;glove;2;50;0.13316790678247262;;;;
cbow_5_50.kv;cbow;5;50;0.0916300553978198;;;;
skipgramm_15_90.kv;skipgramm;15;90;0.1475181735650101;;;;
glove_9_190.kv;glove;9;190;0.12551819709416176;;;;
cbow_5_190.kv;cbow;5;190;0.12369261205148403;;;;
glove_3_30.kv;glove;3;30;0.13969607710978654;;;;
skipgramm_7_70.kv;skipgramm;7;70;0.15228989984795308;;;;
glove_4_50.kv;glove;4;50;0.1328988170585112;;;;
skipgramm_2_30.kv;skipgramm;2;30;0.12182504172733453;;;;
cbow_10_110.kv;cbow;10;110;0.12290744230882555;;;;
cbow_2_30.kv;cbow;2;30;0.05030984974411924;;;;
skipgramm_3_190.kv;skipgramm;3;190;0.15733217259033544;;;;
skipgramm_7_190.kv;skipgramm;7;190;0.15635890429621505;;;;
cbow_15_90.kv;cbow;15;90;0.12295359091291272;;;;
cbow_8_90.kv;cbow;8;90;0.11297836056519579;;;;
glove_10_150.kv;glove;10;150;0.12649282844043083;;;;
skipgramm_9_110.kv;skipgramm;9;110;0.15241289387033272;;;;
cbow_9_170.kv;cbow;9;170;0.13397915579733877;;;;
glove_5_10.kv;glove;5;10;0.17213173385211478;;;;
cbow_9_50.kv;cbow;9;50;0.10227229887328235;;;;
cbow_9_70.kv;cbow;9;70;0.10993561076518074;;;;
cbow_10_70.kv;cbow;10;70;0.11276058883345029;;;;
cbow_6_170.kv;cbow;6;170;0.12566688566950746;;;;
skipgramm_10_50.kv;skipgramm;10;50;0.14700738005201658;;;;
glove_9_130.kv;glove;9;130;0.12646577866502448;;;;
skipgramm_3_90.kv;skipgramm;3;90;0.15279146019323878;;;;
glove_10_110.kv;glove;10;110;0.12776795476485284;;;;
skipgramm_7_10.kv;skipgramm;7;10;0.1353310158787511;;;;
cbow_2_190.kv;cbow;2;190;0.09130535025002007;;;;
skipgramm_4_70.kv;skipgramm;4;70;0.15313900527083224;;;;
skipgramm_5_110.kv;skipgramm;5;110;0.15597359233848618;;;;
glove_3_190.kv;glove;3;190;0.12549610332190467;;;;
skipgramm_5_170.kv;skipgramm;5;170;0.15739110748821553;;;;
glove_7_90.kv;glove;7;90;0.12852080109154887;;;;
skipgramm_6_10.kv;skipgramm;6;10;0.1337717395905318;;;;
glove_8_150.kv;glove;8;150;0.12619790046514334;;;;
skipgramm_5_150.kv;skipgramm;5;150;0.1570929059808604;;;;
cbow_4_130.kv;cbow;4;130;0.11212178799244109;;;;
glove_4_190.kv;glove;4;190;0.12558766804918076;;;;
skipgramm_2_70.kv;skipgramm;2;70;0.1397786862905803;;;;
skipgramm_10_130.kv;skipgramm;10;130;0.1518366182183134;;;;
glove_2_30.kv;glove;2;30;0.13950731778789255;;;;
skipgramm_2_130.kv;skipgramm;2;130;0.1494602504966476;;;;
glove_8_50.kv;glove;8;50;0.13236096085352841;;;;
glove_15_130.kv;glove;15;130;0.12687803846715615;;;;
glove_8_110.kv;glove;8;110;0.12754554944416924;;;;
cbow_4_70.kv;cbow;4;70;0.09656460109048179;;;;
cbow_10_90.kv;cbow;10;90;0.11937391453153914;;;;
glove_15_30.kv;glove;15;30;0.1391696393446037;;;;
glove_5_190.kv;glove;5;190;0.12560613772192528;;;;
cbow_15_130.kv;cbow;15;130;0.1311165462468812;;;;
glove_7_190.kv;glove;7;190;0.12574084732663213;;;;
cbow_15_30.kv;cbow;15;30;0.09116300650544822;;;;
skipgramm_4_50.kv;skipgramm;4;50;0.15077605656745746;;;;
glove_4_130.kv;glove;4;130;0.12665606317525818;;;;
cbow_4_190.kv;cbow;4;190;0.12073668710038671;;;;
glove_9_150.kv;glove;9;150;0.12639420270953777;;;;
glove_9_170.kv;glove;9;170;0.12583137597280816;;;;
cbow_6_130.kv;cbow;6;130;0.11936150513550191;;;;
skipgramm_2_170.kv;skipgramm;2;170;0.15116942774219014;;;;
glove_4_170.kv;glove;4;170;0.12568063920171899;;;;
skipgramm_7_170.kv;skipgramm;7;170;0.15567448991240065;;;;
glove_3_50.kv;glove;3;50;0.13314895172774543;;;;
glove_9_30.kv;glove;9;30;0.13999310168509632;;;;
cbow_3_190.kv;cbow;3;190;0.10848034143046506;;;;
skipgramm_8_130.kv;skipgramm;8;130;0.15396597588126845;;;;
skipgramm_7_50.kv;skipgramm;7;50;0.15003496455024234;;;;
skipgramm_3_110.kv;skipgramm;3;110;0.15448794501925991;;;;
cbow_4_170.kv;cbow;4;170;0.11892313502258231;;;;
cbow_7_190.kv;cbow;7;190;0.13467401304215318;;;;
skipgramm_15_10.kv;skipgramm;15;10;0.13386661358248114;;;;
glove_15_190.kv;glove;15;190;0.1255498371199884;;;;
glove_6_190.kv;glove;6;190;0.12567393064153826;;;;
cbow_4_110.kv;cbow;4;110;0.10870829342829247;;;;
cbow_3_30.kv;cbow;3;30;0.06491526734119435;;;;
skipgramm_5_90.kv;skipgramm;5;90;0.15457132645162575;;;;
skipgramm_15_110.kv;skipgramm;15;110;0.14873231214322377;;;;
cbow_2_110.kv;cbow;2;110;0.07959834181980537;;;;
skipgramm_8_90.kv;skipgramm;8;90;0.15258713683442668;;;;
skipgramm_5_50.kv;skipgramm;5;50;0.15127863785944853;;;;
glove_5_110.kv;glove;5;110;0.12759353588697928;;;;
skipgramm_2_50.kv;skipgramm;2;50;0.1344552708547666;;;;
cbow_8_70.kv;cbow;8;70;0.10885346388624641;;;;
skipgramm_2_10.kv;skipgramm;2;10;0.08696212390936636;;;;
skipgramm_15_50.kv;skipgramm;15;50;0.1450979998934862;;;;
cbow_15_10.kv;cbow;15;10;0.0732031356726756;;;;
cbow_4_30.kv;cbow;4;30;0.07259761665366875;;;;
glove_3_170.kv;glove;3;170;0.1261078185519058;;;;
skipgramm_7_30.kv;skipgramm;7;30;0.14638036180214203;;;;
skipgramm_3_150.kv;skipgramm;3;150;0.15593346241961317;;;;
skipgramm_10_170.kv;skipgramm;10;170;0.15333985593697474;;;;
cbow_3_90.kv;cbow;3;90;0.09468205250764027;;;;
cbow_9_130.kv;cbow;9;130;0.1272699711928841;;;;
skipgramm_6_190.kv;skipgramm;6;190;0.15709990839341065;;;;
skipgramm_7_110.kv;skipgramm;7;110;0.1543697347739478;;;;
skipgramm_4_130.kv;skipgramm;4;130;0.15625201004581865;;;;
cbow_8_190.kv;cbow;8;190;0.12861081414359152;;;;
glove_4_110.kv;glove;4;110;0.1274162292242266;;;;
glove_10_30.kv;glove;10;30;0.14006178613511946;;;;
skipgramm_4_110.kv;skipgramm;4;110;0.15606463233907303;;;;
cbow_3_130.kv;cbow;3;130;0.10498399422277459;;;;
glove_3_150.kv;glove;3;150;0.12623563558186285;;;;
cbow_5_30.kv;cbow;5;30;0.07865347831867402;;;;
cbow_2_10.kv;cbow;2;10;0.058367021904614375;;;;
glove_6_110.kv;glove;6;110;0.1277815682687943;;;;
cbow_7_110.kv;cbow;7;110;0.12019595336580284;;;;
cbow_7_70.kv;cbow;7;70;0.1078141624782841;;;;
glove_10_70.kv;glove;10;70;0.13044426482764437;;;;
skipgramm_6_50.kv;skipgramm;6;50;0.15125053401962626;;;;
skipgramm_15_150.kv;skipgramm;15;150;0.14984838136404294;;;;
cbow_10_190.kv;cbow;10;190;0.13256962510416484;;;;
glove_2_90.kv;glove;2;90;0.1284138312144976;;;;
skipgramm_6_70.kv;skipgramm;6;70;0.15376374154105918;;;;
skipgramm_5_10.kv;skipgramm;5;10;0.13243740350076985;;;;
cbow_2_70.kv;cbow;2;70;0.06901046833640953;;;;
skipgramm_3_170.kv;skipgramm;3;170;0.15668723375958837;;;;
cbow_8_130.kv;cbow;8;130;0.12236105688126221;;;;
skipgramm_2_150.kv;skipgramm;2;150;0.15049261021798907;;;;
cbow_2_130.kv;cbow;2;130;0.08645353941504406;;;;
glove_7_170.kv;glove;7;170;0.1259828125086602;;;;
skipgramm_9_30.kv;skipgramm;9;30;0.1449019969030835;;;;
cbow_6_70.kv;cbow;6;70;0.10919233031096227;;;;
cbow_6_90.kv;cbow;6;90;0.1133553077165984;;;;
skipgramm_9_190.kv;skipgramm;9;190;0.154513772925451;;;;
skipgramm_8_170.kv;skipgramm;8;170;0.1546669698463244;;;;
cbow_6_10.kv;cbow;6;10;0.06408267867324588;;;;
glove_5_90.kv;glove;5;90;0.12886349476906067;;;;
glove_6_150.kv;glove;6;150;0.12640176569037856;;;;
cbow_10_30.kv;cbow;10;30;0.08708519340563564;;;;
cbow_10_170.kv;cbow;10;170;0.1353364087604676;;;;
skipgramm_6_170.kv;skipgramm;6;170;0.15666910139284781;;;;
glove_7_10.kv;glove;7;10;0.17207084934533798;;;;
skipgramm_15_170.kv;skipgramm;15;170;0.1502186231190653;;;;
skipgramm_9_10.kv;skipgramm;9;10;0.13516191947061656;;;;
cbow_3_70.kv;cbow;3;70;0.08704164999757792;;;;
glove_6_30.kv;glove;6;30;0.13973515368664835;;;;
glove_2_190.kv;glove;2;190;0.1255579675222561;;;;
cbow_9_110.kv;cbow;9;110;0.12060756386643641;;;;
glove_5_130.kv;glove;5;130;0.12668970356664894;;;;
skipgramm_8_70.kv;skipgramm;8;70;0.15166979762402463;;;;
glove_15_170.kv;glove;15;170;0.12600208736102764;;;;
glove_2_70.kv;glove;2;70;0.1303202380185368;;;;
cbow_15_170.kv;cbow;15;170;0.12972787481556206;;;;
glove_7_70.kv;glove;7;70;0.13003483408745706;;;;
skipgramm_6_130.kv;skipgramm;6;130;0.15557577903023032;;;;
skipgramm_4_170.kv;skipgramm;4;170;0.15781975590087322;;;;
glove_7_110.kv;glove;7;110;0.12742026392942574;;;;
glove_2_130.kv;glove;2;130;0.1266414052574226;;;;
glove_8_90.kv;glove;8;90;0.12866152562658423;;;;
cbow_15_70.kv;cbow;15;70;0.11684279540218112;;;;
cbow_6_50.kv;cbow;6;50;0.09965627021470459;;;;
cbow_6_30.kv;cbow;6;30;0.08086989669072885;;;;
cbow_4_150.kv;cbow;4;150;0.11523112607103585;;;;
skipgramm_8_150.kv;skipgramm;8;150;0.15416990344285525;;;;
glove_10_10.kv;glove;10;10;0.1725691435901257;;;;
cbow_8_10.kv;cbow;8;10;0.06486306439739559;;;;
glove_8_190.kv;glove;8;190;0.1259738106828115;;;;
glove_9_70.kv;glove;9;70;0.13005473632039766;;;;
skipgramm_15_30.kv;skipgramm;15;30;0.141815552685878;;;;
cbow_9_190.kv;cbow;9;190;0.13440423851161873;;;;
glove_4_150.kv;glove;4;150;0.1264866263316275;;;;
cbow_4_90.kv;cbow;4;90;0.10556459495654924;;;;
glove_3_70.kv;glove;3;70;0.12976139134344583;;;;
cbow_7_90.kv;cbow;7;90;0.11475585714186794;;;;
glove_7_150.kv;glove;7;150;0.12639188710433572;;;;
skipgramm_5_130.kv;skipgramm;5;130;0.15628055552620168;;;;
cbow_5_170.kv;cbow;5;170;0.12275731956952445;;;;
glove_7_130.kv;glove;7;130;0.12724781149629538;;;;
glove_6_130.kv;glove;6;130;0.12645121339519982;;;;
skipgramm_4_190.kv;skipgramm;4;190;0.15809202816501602;;;;
cbow_3_170.kv;cbow;3;170;0.10836650393385769;;;;
cbow_6_150.kv;cbow;6;150;0.12353018653868673;;;;
glove_6_170.kv;glove;6;170;0.12573599948089412;;;;
cbow_10_50.kv;cbow;10;50;0.10100302513230734;;;;
skipgramm_15_190.kv;skipgramm;15;190;0.15080159459950568;;;;
skipgramm_9_90.kv;skipgramm;9;90;0.15120033698808277;;;;
cbow_9_150.kv;cbow;9;150;0.12681376291209062;;;;
skipgramm_3_70.kv;skipgramm;3;70;0.1503082353067879;;;;
cbow_3_10.kv;cbow;3;10;0.05918035563364961;;;;
skipgramm_9_70.kv;skipgramm;9;70;0.15059867318147188;;;;
cbow_9_10.kv;cbow;9;10;0.06951101824417578;;;;
cbow_5_90.kv;cbow;5;90;0.10980905424223973;;;;
skipgramm_6_150.kv;skipgramm;6;150;0.1564697773464225;;;;
skipgramm_10_190.kv;skipgramm;10;190;0.15353742404235188;;;;
glove_10_90.kv;glove;10;90;0.12875561559318777;;;;
glove_5_170.kv;glove;5;170;0.12578289569149526;;;;
cbow_8_50.kv;cbow;8;50;0.10140199787335473;;;;
glove_4_30.kv;glove;4;30;0.1397499982933503;;;;
glove_10_190.kv;glove;10;190;0.1253374346205365;;;;
skipgramm_4_90.kv;skipgramm;4;90;0.154242018731389;;;;
skipgramm_9_170.kv;skipgramm;9;170;0.15385411379206343;;;;
glove_6_50.kv;glove;6;50;0.1332834215825202;;;;
cbow_9_90.kv;cbow;9;90;0.11657461368888705;;;;
cbow_4_10.kv;cbow;4;10;0.061275763625083426;;;;
cbow_7_130.kv;cbow;7;130;0.12122676852148923;;;;
glove_15_110.kv;glove;15;110;0.12716076739936805;;;;
cbow_9_30.kv;cbow;9;30;0.08653609400002146;;;;
cbow_2_150.kv;cbow;2;150;0.08836387376548491;;;;
skipgramm_2_190.kv;skipgramm;2;190;0.1526565065820783;;;;
glove_8_10.kv;glove;8;10;0.17185992705620953;;;;
skipgramm_9_130.kv;skipgramm;9;130;0.15280272451108484;;;;
glove_15_150.kv;glove;15;150;0.12624240344965815;;;;
cbow_15_50.kv;cbow;15;50;0.11031674615422946;;;;
cbow_7_50.kv;cbow;7;50;0.09768883790807745;;;;
skipgramm_3_130.kv;skipgramm;3;130;0.1552904234315406;;;;
glove_3_130.kv;glove;3;130;0.12622593456689202;;;;
cbow_8_30.kv;cbow;8;30;0.09033534334040974;;;;
cbow_4_50.kv;cbow;4;50;0.08776981271445576;;;;
cbow_6_110.kv;cbow;6;110;0.11922815420399765;;;;
glove_5_70.kv;glove;5;70;0.13004077905863867;;;;
glove_5_30.kv;glove;5;30;0.13943262735761897;;;;
glove_6_70.kv;glove;6;70;0.12980680054828136;;;;
skipgramm_4_10.kv;skipgramm;4;10;0.12561043457539328;;;;
cbow_3_50.kv;cbow;3;50;0.07866514836975806;;;;
glove_3_10.kv;glove;3;10;0.17258228585002958;;;;
skipgramm_10_110.kv;skipgramm;10;110;0.1513995892104371;;;;
skipgramm_10_30.kv;skipgramm;10;30;0.14460812305535894;;;;
skipgramm_8_190.kv;skipgramm;8;190;0.15474382961794098;;;;
glove_4_70.kv;glove;4;70;0.12998632708676836;;;;
glove_15_70.kv;glove;15;70;0.13031779512315486;;;;
cbow_5_150.kv;cbow;5;150;0.1210756199452964;;;;
cbow_7_10.kv;cbow;7;10;0.06467608991514033;;;;
cbow_3_110.kv;cbow;3;110;0.09699589035425452;;;;
glove_2_170.kv;glove;2;170;0.12624365941296806;;;;
glove_15_10.kv;glove;15;10;0.17111116580514588;;;;
cbow_15_150.kv;cbow;15;150;0.129521948320345;;;;
skipgramm_8_110.kv;skipgramm;8;110;0.1532253345987927;;;;
