models_filename;type_model;windows;dim_emb;tag_mse
glove_9_10.kv;glove;9;10;0.1720620247987441
glove_9_260.kv;glove;9;260;0.124001118252208
cbow_3_80.kv;cbow;3;80;0.0935965467999288
skipgram_15_1.kv;skipgram;15;1;0.1770430632430505
cbow_9_40.kv;cbow;9;40;0.1001739272812944
cbow_3_60.kv;cbow;3;60;0.0852222669377781
skipgram_4_100.kv;skipgram;4;100;0.15836471960412
glove_4_5.kv;glove;4;5;0.2221138670899126
skipgram_4_80.kv;skipgram;4;80;0.1572651579670926
skipgram_4_180.kv;skipgram;4;180;0.1606857289025199
glove_15_160.kv;glove;15;160;0.1251948325685164
glove_8_260.kv;glove;8;260;0.1239894502625294
skipgram_4_240.kv;skipgram;4;240;0.1616981890697999
skipgram_6_160.kv;skipgram;6;160;0.1592193592930627
cbow_10_40.kv;cbow;10;40;0.100399684318449
cbow_9_300.kv;cbow;9;300;0.1440565165125154
glove_2_140.kv;glove;2;140;0.1256386082139329
cbow_6_260.kv;cbow;6;260;0.1374318405310888
skipgram_2_80.kv;skipgram;2;80;0.1451415204395226
glove_4_20.kv;glove;4;20;0.1470530080917775
skipgram_2_300.kv;skipgram;2;300;0.1587674359582998
glove_15_240.kv;glove;15;240;0.1241361923548306
glove_4_300.kv;glove;4;300;0.1237303738050413
cbow_2_1.kv;cbow;2;1;0.5883470345444566
skipgram_9_40.kv;skipgram;9;40;0.1499498643966804
skipgram_8_60.kv;skipgram;8;60;0.153497630945031
cbow_9_80.kv;cbow;9;80;0.1190397563105805
glove_9_220.kv;glove;9;220;0.1243360398823448
cbow_2_60.kv;cbow;2;60;0.067960640231816
cbow_8_160.kv;cbow;8;160;0.1320867127626931
skipgram_5_120.kv;skipgram;5;120;0.1590606760786626
skipgram_15_280.kv;skipgram;15;280;0.1552079231392023
skipgram_2_60.kv;skipgram;2;60;0.1402057285991112
glove_6_80.kv;glove;6;80;0.1283355907738319
glove_4_160.kv;glove;4;160;0.1252054099878144
glove_4_200.kv;glove;4;200;0.1245908982713082
skipgram_5_40.kv;skipgram;5;40;0.1525235200327419
cbow_15_160.kv;cbow;15;160;0.1393749136288696
skipgram_6_180.kv;skipgram;6;180;0.1594652751137664
skipgram_4_140.kv;skipgram;4;140;0.1598851606812473
cbow_8_15.kv;cbow;8;15;0.0770417591985478
glove_2_20.kv;glove;2;20;0.1471496842659329
skipgram_8_240.kv;skipgram;8;240;0.1584599080143584
glove_4_100.kv;glove;4;100;0.1270536527062502
skipgram_9_120.kv;skipgram;9;120;0.1555147504601078
cbow_9_240.kv;cbow;9;240;0.1413145265849361
skipgram_10_240.kv;skipgram;10;240;0.1572444182987603
glove_7_80.kv;glove;7;80;0.1282876011441543
cbow_3_140.kv;cbow;3;140;0.1079293656149752
skipgram_9_10.kv;skipgram;9;10;0.1396917835538491
cbow_8_260.kv;cbow;8;260;0.1414276636118454
glove_3_300.kv;glove;3;300;0.1237379286732101
glove_3_160.kv;glove;3;160;0.1252232568213737
glove_9_300.kv;glove;9;300;0.1237299420311962
skipgram_5_60.kv;skipgram;5;60;0.1554237120568663
cbow_4_280.kv;cbow;4;280;0.13097160900596
skipgram_3_15.kv;skipgram;3;15;0.1293586335751329
glove_4_120.kv;glove;4;120;0.1262207681171298
skipgram_15_80.kv;skipgram;15;80;0.1507399384205391
skipgram_8_280.kv;skipgram;8;280;0.1588943425030559
cbow_9_220.kv;cbow;9;220;0.1386436151277078
skipgram_6_15.kv;skipgram;6;15;0.143099339135501
skipgram_10_200.kv;skipgram;10;200;0.1567721746273086
skipgram_7_5.kv;skipgram;7;5;0.1314646439160035
cbow_9_60.kv;cbow;9;60;0.1106102690668257
cbow_15_20.kv;cbow;15;20;0.0857870514637695
glove_15_15.kv;glove;15;15;0.1554208610909495
skipgram_9_1.kv;skipgram;9;1;0.1847453085922353
cbow_5_10.kv;cbow;5;10;0.0640023434684824
cbow_2_240.kv;cbow;2;240;0.1009669809457374
skipgram_4_20.kv;skipgram;4;20;0.142196312230683
glove_6_300.kv;glove;6;300;0.123722492812701
glove_8_200.kv;glove;8;200;0.1245582750008505
skipgram_9_300.kv;skipgram;9;300;0.1585076666937936
skipgram_15_220.kv;skipgram;15;220;0.153966066978012
skipgram_2_5.kv;skipgram;2;5;0.0844964227678679
cbow_4_260.kv;cbow;4;260;0.1306779384624215
cbow_8_20.kv;cbow;8;20;0.0808085287475274
glove_7_5.kv;glove;7;5;0.2219681166784901
glove_8_5.kv;glove;8;5;0.2220440788919974
glove_2_10.kv;glove;2;10;0.1721262631357706
cbow_9_1.kv;cbow;9;1;0.4917117005433239
glove_10_300.kv;glove;10;300;0.123732226776874
glove_4_15.kv;glove;4;15;0.1555070040992607
cbow_9_260.kv;cbow;9;260;0.1421387911117005
skipgram_3_260.kv;skipgram;3;260;0.1616854037072618
cbow_4_240.kv;cbow;4;240;0.1281107272971473
cbow_3_300.kv;cbow;3;300;0.1238529287475978
skipgram_6_260.kv;skipgram;6;260;0.1608701510208005
skipgram_7_100.kv;skipgram;7;100;0.1564787401448273
glove_9_160.kv;glove;9;160;0.1251922996319276
glove_6_100.kv;glove;6;100;0.1270531234710742
glove_7_220.kv;glove;7;220;0.1243338515155504
cbow_7_240.kv;cbow;7;240;0.1374534322823407
skipgram_10_140.kv;skipgram;10;140;0.1554314902855925
skipgram_8_100.kv;skipgram;8;100;0.1556543818568534
skipgram_3_220.kv;skipgram;3;220;0.1609984733943207
cbow_6_300.kv;cbow;6;300;0.1399421092598328
cbow_2_40.kv;cbow;2;40;0.0591649520166901
cbow_2_220.kv;cbow;2;220;0.0999437883510606
cbow_6_20.kv;cbow;6;20;0.0757807379316861
cbow_6_160.kv;cbow;6;160;0.1287253864996911
glove_15_40.kv;glove;15;40;0.1345976340940881
glove_7_140.kv;glove;7;140;0.1256434294773302
cbow_4_300.kv;cbow;4;300;0.1326258552847509
glove_3_220.kv;glove;3;220;0.1243616838685737
skipgram_4_280.kv;skipgram;4;280;0.1624042355697875
glove_5_140.kv;glove;5;140;0.1256520927072648
cbow_15_60.kv;cbow;15;60;0.1145898632411948
cbow_15_240.kv;cbow;15;240;0.1451529299215524
skipgram_5_5.kv;skipgram;5;5;0.1244292841391649
cbow_2_280.kv;cbow;2;280;0.1048663070846697
glove_3_1.kv;glove;3;1;0.6220156334496689
glove_15_260.kv;glove;15;260;0.1240021788152272
cbow_4_220.kv;cbow;4;220;0.1270040109261148
glove_15_60.kv;glove;15;60;0.130413515085166
cbow_4_80.kv;cbow;4;80;0.1029464083007122
cbow_8_80.kv;cbow;8;80;0.1176949866044007
glove_5_1.kv;glove;5;1;0.6219244590772811
cbow_8_180.kv;cbow;8;180;0.1353048264645022
glove_10_200.kv;glove;10;200;0.1245556825874349
skipgram_4_1.kv;skipgram;4;1;0.2622787532393235
cbow_8_5.kv;cbow;8;5;0.0815590570423218
cbow_3_180.kv;cbow;3;180;0.1132624382484671
glove_2_120.kv;glove;2;120;0.1262519746134733
glove_5_240.kv;glove;5;240;0.1241345100816092
skipgram_10_160.kv;skipgram;10;160;0.1557158233854872
cbow_9_20.kv;cbow;9;20;0.0828566092949073
skipgram_7_260.kv;skipgram;7;260;0.1597156124826719
glove_5_200.kv;glove;5;200;0.1245911617939347
skipgram_9_280.kv;skipgram;9;280;0.1581855178890005
glove_7_40.kv;glove;7;40;0.1344973051304031
skipgram_15_60.kv;skipgram;15;60;0.1493838044176334
cbow_2_20.kv;cbow;2;20;0.052632403116569
cbow_10_80.kv;cbow;10;80;0.1188397014479337
cbow_6_120.kv;cbow;6;120;0.1216424812125187
glove_2_100.kv;glove;2;100;0.1270473434751201
glove_7_120.kv;glove;7;120;0.1262398324114811
skipgram_4_60.kv;skipgram;4;60;0.1548219234329154
glove_4_280.kv;glove;4;280;0.1238477789981436
cbow_2_140.kv;cbow;2;140;0.0899228567781227
glove_6_40.kv;glove;6;40;0.1345969964594064
glove_9_200.kv;glove;9;200;0.1245407774888249
glove_8_140.kv;glove;8;140;0.1256110659430118
glove_2_40.kv;glove;2;40;0.1345699385940994
cbow_3_200.kv;cbow;3;200;0.1156621663186572
glove_6_180.kv;glove;6;180;0.1248538818029301
glove_10_80.kv;glove;10;80;0.1282910244836126
skipgram_4_40.kv;skipgram;4;40;0.151188009352257
cbow_2_5.kv;cbow;2;5;0.0883924053858186
skipgram_2_20.kv;skipgram;2;20;0.1147780776080351
glove_6_1.kv;glove;6;1;0.6219964139769691
skipgram_10_80.kv;skipgram;10;80;0.1531999514821179
skipgram_2_140.kv;skipgram;2;140;0.1524705297640454
skipgram_9_200.kv;skipgram;9;200;0.1574658129289034
glove_3_20.kv;glove;3;20;0.1470398225601925
glove_3_260.kv;glove;3;260;0.1239748729564718
skipgram_2_280.kv;skipgram;2;280;0.1579699472242217
glove_5_10.kv;glove;5;10;0.171973976392962
skipgram_6_140.kv;skipgram;6;140;0.1585062374405262
glove_5_5.kv;glove;5;5;0.2221562440159677
skipgram_3_60.kv;skipgram;3;60;0.1518079535743927
skipgram_9_100.kv;skipgram;9;100;0.1549653742182
skipgram_8_220.kv;skipgram;8;220;0.158194726099736
glove_6_5.kv;glove;6;5;0.2218825994122974
glove_9_20.kv;glove;9;20;0.1471196605072793
glove_8_300.kv;glove;8;300;0.1237491804677179
cbow_3_120.kv;cbow;3;120;0.1035430202398094
skipgram_3_140.kv;skipgram;3;140;0.1586472856103641
glove_4_40.kv;glove;4;40;0.1345577927830419
skipgram_5_10.kv;skipgram;5;10;0.1357489972690466
skipgram_5_280.kv;skipgram;5;280;0.1615971433189421
glove_5_80.kv;glove;5;80;0.1283393859348481
cbow_10_60.kv;cbow;10;60;0.1121324043008278
skipgram_7_120.kv;skipgram;7;120;0.1570573380752883
skipgram_9_240.kv;skipgram;9;240;0.1579043482229351
cbow_9_100.kv;cbow;9;100;0.1240830563764664
cbow_15_200.kv;cbow;15;200;0.1412059378903618
skipgram_9_15.kv;skipgram;9;15;0.14300723910599
cbow_6_100.kv;cbow;6;100;0.1172389668362113
glove_8_100.kv;glove;8;100;0.1270737981115686
skipgram_10_20.kv;skipgram;10;20;0.144448145022804
skipgram_2_120.kv;skipgram;2;120;0.1506750644694963
cbow_3_260.kv;cbow;3;260;0.1229029255558402
skipgram_6_60.kv;skipgram;6;60;0.1550587497757847
glove_4_220.kv;glove;4;220;0.1243261256490212
skipgram_4_10.kv;skipgram;4;10;0.1305175406750426
glove_5_40.kv;glove;5;40;0.1345771165074533
glove_9_100.kv;glove;9;100;0.1270867219785726
cbow_8_240.kv;cbow;8;240;0.1407190532283902
skipgram_3_80.kv;skipgram;3;80;0.1547973765630333
glove_10_140.kv;glove;10;140;0.1256385414625474
glove_5_160.kv;glove;5;160;0.1251667344038017
cbow_5_260.kv;cbow;5;260;0.134049897530756
glove_6_220.kv;glove;6;220;0.1243411223178009
glove_10_60.kv;glove;10;60;0.1304467944454487
glove_9_120.kv;glove;9;120;0.1262296556285312
skipgram_15_160.kv;skipgram;15;160;0.1531038975139544
skipgram_9_140.kv;skipgram;9;140;0.1563275754083173
skipgram_7_80.kv;skipgram;7;80;0.1560701063972409
glove_10_260.kv;glove;10;260;0.1239851151779441
cbow_5_60.kv;cbow;5;60;0.101371910622408
cbow_4_1.kv;cbow;4;1;0.5238499259907607
cbow_6_200.kv;cbow;6;200;0.1338725861244705
glove_7_100.kv;glove;7;100;0.1270909302769556
skipgram_8_40.kv;skipgram;8;40;0.1510786469584137
cbow_15_1.kv;cbow;15;1;0.4742666351335313
glove_5_120.kv;glove;5;120;0.1262205993907965
glove_8_220.kv;glove;8;220;0.1243367720107089
cbow_7_260.kv;cbow;7;260;0.139374916204327
skipgram_7_280.kv;skipgram;7;280;0.1598368978460059
skipgram_3_280.kv;skipgram;3;280;0.1620879469606999
skipgram_6_80.kv;skipgram;6;80;0.1566450147863107
cbow_8_280.kv;cbow;8;280;0.1418990086741155
skipgram_9_20.kv;skipgram;9;20;0.1454136258664532
cbow_10_220.kv;cbow;10;220;0.1399442196601048
skipgram_6_220.kv;skipgram;6;220;0.1605637153322376
glove_6_160.kv;glove;6;160;0.1252046748985113
skipgram_7_40.kv;skipgram;7;40;0.1520957104866825
skipgram_5_15.kv;skipgram;5;15;0.1414181047337834
cbow_7_140.kv;cbow;7;140;0.1275901170546933
skipgram_15_100.kv;skipgram;15;100;0.1517328972912435
cbow_10_140.kv;cbow;10;140;0.132425359448131
skipgram_5_20.kv;skipgram;5;20;0.1452770792349686
skipgram_10_120.kv;skipgram;10;120;0.1549038776740445
cbow_2_15.kv;cbow;2;15;0.0509955872210082
cbow_6_1.kv;cbow;6;1;0.4921702192606398
skipgram_8_300.kv;skipgram;8;300;0.1590185899354529
glove_7_20.kv;glove;7;20;0.1470493239544369
skipgram_3_5.kv;skipgram;3;5;0.1042581693642936
glove_6_280.kv;glove;6;280;0.1238663032117792
glove_9_140.kv;glove;9;140;0.1256105994015438
glove_9_80.kv;glove;9;80;0.1283406343257202
glove_6_200.kv;glove;6;200;0.1245590307056963
cbow_15_220.kv;cbow;15;220;0.1412770790777182
glove_9_240.kv;glove;9;240;0.1241524590553789
glove_10_180.kv;glove;10;180;0.1248590743357857
cbow_2_80.kv;cbow;2;80;0.0758586219604181
cbow_10_200.kv;cbow;10;200;0.1385587549326652
cbow_3_5.kv;cbow;3;5;0.0821169345364736
cbow_2_260.kv;cbow;2;260;0.1031699657062059
skipgram_5_80.kv;skipgram;5;80;0.1570768142243791
glove_15_180.kv;glove;15;180;0.1248487700955242
cbow_8_60.kv;cbow;8;60;0.1097698243433355
skipgram_6_10.kv;skipgram;6;10;0.1381349807159776
cbow_4_180.kv;cbow;4;180;0.122842603026423
cbow_10_260.kv;cbow;10;260;0.1432859212742572
skipgram_15_260.kv;skipgram;15;260;0.1547513562777324
cbow_7_200.kv;cbow;7;200;0.1349785889294033
cbow_4_5.kv;cbow;4;5;0.080629378459816
glove_15_1.kv;glove;15;1;0.6219151595475031
skipgram_15_120.kv;skipgram;15;120;0.1523702021656408
glove_5_300.kv;glove;5;300;0.1237436616857406
skipgram_6_5.kv;skipgram;6;5;0.1290944620517575
glove_10_15.kv;glove;10;15;0.1554087152322016
skipgram_5_240.kv;skipgram;5;240;0.161333996368034
cbow_5_20.kv;cbow;5;20;0.072277593879532
glove_4_260.kv;glove;4;260;0.123964439564105
skipgram_5_1.kv;skipgram;5;1;0.2255906785587209
cbow_3_40.kv;cbow;3;40;0.0746522539877877
glove_8_160.kv;glove;8;160;0.1251918957527513
skipgram_10_5.kv;skipgram;10;5;0.1345707170138652
skipgram_5_300.kv;skipgram;5;300;0.1618215183156616
glove_3_280.kv;glove;3;280;0.1238785230318886
cbow_3_240.kv;cbow;3;240;0.1204188765418202
cbow_7_120.kv;cbow;7;120;0.1238123437423488
skipgram_7_1.kv;skipgram;7;1;0.1965816873555429
skipgram_9_260.kv;skipgram;9;260;0.1582034043227325
cbow_10_280.kv;cbow;10;280;0.1426582806022238
glove_7_280.kv;glove;7;280;0.1238834230186588
glove_10_1.kv;glove;10;1;0.6221042391375734
skipgram_7_160.kv;skipgram;7;160;0.1585323747884084
glove_9_5.kv;glove;9;5;0.2220334616175606
cbow_6_180.kv;cbow;6;180;0.1307904862305789
cbow_5_160.kv;cbow;5;160;0.1262146575216136
skipgram_15_15.kv;skipgram;15;15;0.1407691689730096
skipgram_10_260.kv;skipgram;10;260;0.157159929012582
cbow_2_100.kv;cbow;2;100;0.0802389241295902
skipgram_5_200.kv;skipgram;5;200;0.160912679558545
skipgram_7_20.kv;skipgram;7;20;0.1460357584200859
cbow_4_40.kv;cbow;4;40;0.0830369517204525
skipgram_6_200.kv;skipgram;6;200;0.1597497570276491
skipgram_6_280.kv;skipgram;6;280;0.1608910316874047
skipgram_7_10.kv;skipgram;7;10;0.1388840703837302
skipgram_9_160.kv;skipgram;9;160;0.1568124120699817
skipgram_3_300.kv;skipgram;3;300;0.1621319449282872
glove_15_5.kv;glove;15;5;0.222077384810264
cbow_7_100.kv;cbow;7;100;0.1207927514585147
glove_9_15.kv;glove;9;15;0.1554123217009159
glove_7_60.kv;glove;7;60;0.1303694572275
skipgram_7_200.kv;skipgram;7;200;0.1590888611598296
cbow_3_1.kv;cbow;3;1;0.5302769697099451
glove_5_260.kv;glove;5;260;0.1239857797574141
skipgram_4_5.kv;skipgram;4;5;0.1164327965004779
glove_3_180.kv;glove;3;180;0.1248392699287101
glove_5_220.kv;glove;5;220;0.1243640591852552
glove_2_5.kv;glove;2;5;0.2221513684494454
cbow_9_15.kv;cbow;9;15;0.0758611383865682
skipgram_5_260.kv;skipgram;5;260;0.1615872861156899
cbow_10_100.kv;cbow;10;100;0.1238724850600965
skipgram_6_100.kv;skipgram;6;100;0.1576465129991602
cbow_15_10.kv;cbow;15;10;0.0757005614841614
cbow_15_260.kv;cbow;15;260;0.145767656723784
cbow_9_280.kv;cbow;9;280;0.1433898155817176
cbow_15_140.kv;cbow;15;140;0.1327773031231125
skipgram_10_180.kv;skipgram;10;180;0.1560024245707187
cbow_8_120.kv;cbow;8;120;0.1263496078447485
glove_4_240.kv;glove;4;240;0.1241635681948223
cbow_15_180.kv;cbow;15;180;0.1386335365135571
cbow_2_160.kv;cbow;2;160;0.0926146852440863
skipgram_15_180.kv;skipgram;15;180;0.1538170121224514
glove_3_5.kv;glove;3;5;0.2221164137413102
glove_3_60.kv;glove;3;60;0.130427937113043
glove_3_140.kv;glove;3;140;0.1256164799160726
glove_9_280.kv;glove;9;280;0.1238404947423763
glove_8_1.kv;glove;8;1;0.62164737568988
skipgram_7_240.kv;skipgram;7;240;0.1593450288200265
skipgram_7_300.kv;skipgram;7;300;0.1599133771977341
glove_2_280.kv;glove;2;280;0.1238573403884964
glove_2_60.kv;glove;2;60;0.1303454137525206
skipgram_2_240.kv;skipgram;2;240;0.1569598086054478
skipgram_10_15.kv;skipgram;10;15;0.1426166896452109
cbow_3_160.kv;cbow;3;160;0.1101508289561525
cbow_5_200.kv;cbow;5;200;0.130273800260515
skipgram_10_10.kv;skipgram;10;10;0.1392418562845541
cbow_6_280.kv;cbow;6;280;0.1384214099263468
skipgram_3_160.kv;skipgram;3;160;0.1593827405005537
cbow_3_220.kv;cbow;3;220;0.1185935578072905
cbow_6_15.kv;cbow;6;15;0.0697890562837719
cbow_7_220.kv;cbow;7;220;0.1370600024168181
glove_5_20.kv;glove;5;20;0.1471117693102478
glove_7_180.kv;glove;7;180;0.1248383463376927
skipgram_9_80.kv;skipgram;9;80;0.1540536542855648
skipgram_9_5.kv;skipgram;9;5;0.1345159190103244
cbow_15_40.kv;cbow;15;40;0.1041967249446709
cbow_2_10.kv;cbow;2;10;0.0563110767150632
skipgram_3_10.kv;skipgram;3;10;0.1198879037001284
skipgram_2_15.kv;skipgram;2;15;0.1081889029901788
cbow_6_5.kv;cbow;6;5;0.0815281160212907
skipgram_2_180.kv;skipgram;2;180;0.1546666170935312
glove_15_120.kv;glove;15;120;0.1262593030221904
cbow_2_200.kv;cbow;2;200;0.0979593460344576
skipgram_10_220.kv;skipgram;10;220;0.1565618994103339
cbow_6_140.kv;cbow;6;140;0.1243908172228661
cbow_2_180.kv;cbow;2;180;0.0952429012997922
glove_7_240.kv;glove;7;240;0.1241519248170745
cbow_15_5.kv;cbow;15;5;0.0833670551417439
skipgram_8_200.kv;skipgram;8;200;0.1581071567561885
cbow_15_80.kv;cbow;15;80;0.1232258864886457
cbow_5_140.kv;cbow;5;140;0.1209340424775333
glove_2_80.kv;glove;2;80;0.1283070075258311
glove_10_40.kv;glove;10;40;0.1344919164559724
cbow_3_280.kv;cbow;3;280;0.123663215023383
cbow_7_180.kv;cbow;7;180;0.1330412861945734
cbow_5_40.kv;cbow;5;40;0.089661409193592
cbow_8_1.kv;cbow;8;1;0.4942713192380033
cbow_4_160.kv;cbow;4;160;0.119388173305291
glove_8_280.kv;glove;8;280;0.1238522807276749
skipgram_2_100.kv;skipgram;2;100;0.1480042718918787
cbow_7_15.kv;cbow;7;15;0.0732285967927131
cbow_5_300.kv;cbow;5;300;0.1367859408165479
glove_8_80.kv;glove;8;80;0.1283197502047201
glove_8_180.kv;glove;8;180;0.1248485079323872
skipgram_3_20.kv;skipgram;3;20;0.1347309714625509
skipgram_6_240.kv;skipgram;6;240;0.160521649509626
cbow_9_160.kv;cbow;9;160;0.1336781190195623
glove_8_120.kv;glove;8;120;0.1262249938330435
cbow_6_10.kv;cbow;6;10;0.0670747942675214
glove_3_40.kv;glove;3;40;0.1345818324211994
glove_2_260.kv;glove;2;260;0.1239754885835053
glove_8_15.kv;glove;8;15;0.1553144035523776
glove_15_300.kv;glove;15;300;0.1237244237617823
glove_4_80.kv;glove;4;80;0.1283142028361274
cbow_5_120.kv;cbow;5;120;0.1178550970269363
skipgram_2_40.kv;skipgram;2;40;0.133098083406733
skipgram_2_220.kv;skipgram;2;220;0.1563072263160728
skipgram_8_120.kv;skipgram;8;120;0.1565086075038506
glove_7_10.kv;glove;7;10;0.1721265681199291
skipgram_9_180.kv;skipgram;9;180;0.1568304603461579
glove_4_60.kv;glove;4;60;0.1304064681130703
cbow_7_280.kv;cbow;7;280;0.1409223046060036
cbow_10_160.kv;cbow;10;160;0.1346533279170365
glove_3_80.kv;glove;3;80;0.1283155741365031
skipgram_15_20.kv;skipgram;15;20;0.1425399819077015
cbow_9_200.kv;cbow;9;200;0.1381745670376996
glove_8_20.kv;glove;8;20;0.14708048011426
skipgram_7_220.kv;skipgram;7;220;0.1593302938742177
cbow_4_200.kv;cbow;4;200;0.1247793661582604
cbow_8_100.kv;cbow;8;100;0.1230981310117465
skipgram_2_160.kv;skipgram;2;160;0.1537336591351076
glove_2_15.kv;glove;2;15;0.155296533935625
cbow_7_80.kv;cbow;7;80;0.1151927501617417
cbow_6_80.kv;cbow;6;80;0.1123872618949021
glove_2_240.kv;glove;2;240;0.124162148678807
cbow_8_220.kv;cbow;8;220;0.1384831471747801
glove_8_40.kv;glove;8;40;0.1345489358644512
cbow_4_140.kv;cbow;4;140;0.1162783124240858
glove_2_160.kv;glove;2;160;0.125174263750906
skipgram_15_140.kv;skipgram;15;140;0.1531804050639578
cbow_6_220.kv;cbow;6;220;0.133883645189712
skipgram_5_160.kv;skipgram;5;160;0.1600290475025561
glove_9_180.kv;glove;9;180;0.1248666714106257
skipgram_3_240.kv;skipgram;3;240;0.1613421851873582
cbow_5_1.kv;cbow;5;1;0.4938011022497514
skipgram_3_1.kv;skipgram;3;1;0.29956199335415
skipgram_4_260.kv;skipgram;4;260;0.1620327248032168
skipgram_10_100.kv;skipgram;10;100;0.1539440099202356
cbow_7_1.kv;cbow;7;1;0.4825832061314705
skipgram_4_15.kv;skipgram;4;15;0.1377652265959134
cbow_10_1.kv;cbow;10;1;0.4738974074570418
glove_5_180.kv;glove;5;180;0.1248335134215265
glove_10_100.kv;glove;10;100;0.127073577167559
skipgram_5_180.kv;skipgram;5;180;0.1604825405409773
glove_10_10.kv;glove;10;10;0.1720653432080051
skipgram_8_260.kv;skipgram;8;260;0.1587367063571698
cbow_8_200.kv;cbow;8;200;0.1369082129828849
cbow_8_10.kv;cbow;8;10;0.0706604116228239
glove_3_15.kv;glove;3;15;0.1553477183551319
glove_5_100.kv;glove;5;100;0.1271177001050263
skipgram_15_10.kv;skipgram;15;10;0.1377041032143067
skipgram_8_80.kv;skipgram;8;80;0.1548546764015718
glove_10_5.kv;glove;10;5;0.2219905255100535
cbow_10_15.kv;cbow;10;15;0.0777581699789409
glove_10_280.kv;glove;10;280;0.1238487979874117
glove_6_240.kv;glove;6;240;0.1241538430702669
skipgram_4_160.kv;skipgram;4;160;0.1604030748321702
skipgram_3_100.kv;skipgram;3;100;0.1564408843301697
cbow_5_240.kv;cbow;5;240;0.1334139855983652
cbow_9_120.kv;cbow;9;120;0.1278375436153641
glove_6_60.kv;glove;6;60;0.1304331522861244
skipgram_7_15.kv;skipgram;7;15;0.1436401541499745
glove_6_20.kv;glove;6;20;0.1468618757238011
glove_10_120.kv;glove;10;120;0.1262590895235815
cbow_7_40.kv;cbow;7;40;0.0965098687369507
glove_8_240.kv;glove;8;240;0.1241659251978224
glove_2_180.kv;glove;2;180;0.1248468011697352
cbow_3_20.kv;cbow;3;20;0.0623229059919028
skipgram_8_10.kv;skipgram;8;10;0.1397763063153492
skipgram_8_20.kv;skipgram;8;20;0.1455582257545543
cbow_3_15.kv;cbow;3;15;0.0578926790323705
cbow_10_120.kv;cbow;10;120;0.1275576884586683
cbow_7_160.kv;cbow;7;160;0.1313294027977871
glove_3_100.kv;glove;3;100;0.1270932545103602
skipgram_5_140.kv;skipgram;5;140;0.1597157624409115
skipgram_8_5.kv;skipgram;8;5;0.1329997333207051
glove_7_260.kv;glove;7;260;0.1239934503319711
skipgram_5_100.kv;skipgram;5;100;0.1583016114993456
cbow_5_280.kv;cbow;5;280;0.1359757307666097
cbow_5_5.kv;cbow;5;5;0.0804466723506153
skipgram_3_180.kv;skipgram;3;180;0.1599432901474159
cbow_8_300.kv;cbow;8;300;0.1433846128819113
skipgram_15_200.kv;skipgram;15;200;0.1543350419195474
skipgram_8_140.kv;skipgram;8;140;0.1570793514252498
skipgram_3_40.kv;skipgram;3;40;0.1468100596114378
glove_5_15.kv;glove;5;15;0.1554297672437238
cbow_15_100.kv;cbow;15;100;0.1269382255187155
