models_filename;type_model;windows;dim_emb;ref_err_dis_cos;ref_rmse_dis_cos;ref_err_moy_freq;ref_rmse_freq
glove_4_180.kv;glove;4;180;0.2033136794997182;0.269785010780639;0.3017050785760543;0.4872323941286906
skipgram_10_300.kv;skipgram;10;300;-0.7495121228331946;0.7690341989354432;0.3103487675405235;0.5094300642190448
glove_15_20.kv;glove;15;20;0.20299380460032007;0.32458345511735137;0.2957478815714888;0.46536331622135063
skipgram_3_120.kv;skipgram;3;120;-0.7783183018071504;0.7957186315797539;0.21868424070063586;0.46341356844978315
cbow_15_300.kv;cbow;15;300;-0.7755797634829664;0.7942287128689361;0.1488427170793706;0.40943640595002345
cbow_4_100.kv;cbow;4;100;-0.741335238411901;0.7632241207859973;0.14210791509813328;0.40078992494573334
cbow_5_80.kv;cbow;5;80;-0.7338406482666534;0.7576535797448489;0.1481180021608213;0.40387364372157997
cbow_4_120.kv;cbow;4;120;-0.7450828155637378;0.7682865075606907;0.14542949149640913;0.4049191802317046
skipgram_7_180.kv;skipgram;7;180;-0.756233191058984;0.7754083274144117;0.2947308582401096;0.506203478853005
cbow_15_15.kv;cbow;15;15;-0.6569604520254347;0.7055577538145928;0.1598034750786891;0.4065714178836616
cbow_10_5.kv;cbow;10;5;-0.548730036912234;0.6571398728831924;0.17765891645631765;0.4149167950716874
glove_3_120.kv;glove;3;120;0.19934702683786948;0.26539654541024377;0.28895292219589835;0.47094356537411275
cbow_10_10.kv;cbow;10;10;-0.6138165258236873;0.6811770733894122;0.1683801430534763;0.4164691134323227
glove_7_1.kv;glove;7;1;0.20563598673335895;1.0399774234808632;0.044073164311242245;0.3623502146234945
cbow_6_40.kv;cbow;6;40;-0.7107574074995497;0.7404719215660994;0.15019646032276665;0.4054317997114976
glove_6_10.kv;glove;6;10;0.20223428820973932;0.4085272131621989;0.2920314465713515;0.48918872803119345
cbow_15_120.kv;cbow;15;120;-0.7531780187832844;0.7789683813408166;0.14969662908646356;0.40614712140324105
glove_4_10.kv;glove;4;10;0.2059892723456309;0.41148114648503364;0.2965065107257808;0.48582455595981733
skipgram_10_1.kv;skipgram;10;1;-0.7865879634999225;0.8167289339128796;-0.2038673533491923;0.3311181363187101
glove_5_280.kv;glove;5;280;0.19807898509462118;0.2631237689089234;0.2820457228496356;0.47985393980156255
skipgram_5_220.kv;skipgram;5;220;-0.7703900430981551;0.788403845595551;0.2748223943773427;0.4969657088199982
skipgram_4_220.kv;skipgram;4;220;-0.777206796152636;0.7946621842031326;0.25374913801317484;0.4878437521376842
cbow_6_240.kv;cbow;6;240;-0.7681810066681848;0.7900468364581968;0.1404416763968224;0.4034258880553692
glove_9_10.kv;glove;9;10;0.20943093578212404;0.4047650258620041;0.30380856867390493;0.49150637997782876
glove_9_260.kv;glove;9;260;0.2011966988565451;0.2663962692644988;0.2926374616648014;0.4840999213506773
cbow_3_80.kv;cbow;3;80;-0.7108459003801236;0.7397802345110583;0.145164233723993;0.4009755387908304
skipgram_15_1.kv;skipgram;15;1;-0.7896983834066099;0.8175307228229604;-0.20234525014978788;0.3334308916614425
cbow_9_40.kv;cbow;9;40;-0.6993010912958133;0.7391409078121368;0.15459319874226632;0.4053239656406983
cbow_3_60.kv;cbow;3;60;-0.7011510379529887;0.7309639703239733;0.14918589684581457;0.4061806603889517
skipgram_4_100.kv;skipgram;4;100;-0.7711334821918738;0.7888589565106798;0.24647978307808835;0.47298055599388283
glove_4_5.kv;glove;4;5;0.22352540558841352;0.5277809288810315;0.3072726656104805;0.5058959542718272
skipgram_4_80.kv;skipgram;4;80;-0.7690497775979247;0.7870346729342064;0.25176354025862024;0.48109210153786947
skipgram_4_180.kv;skipgram;4;180;-0.7743108027041086;0.7920580925253893;0.24825866549097317;0.4855888153424273
glove_15_160.kv;glove;15;160;0.20082448733011682;0.26952507318836216;0.295624336855569;0.4885426436413056
glove_8_260.kv;glove;8;260;0.1944039410905707;0.25993443717843;0.26986405236357996;0.46995547499031365
skipgram_4_240.kv;skipgram;4;240;-0.7773785479098825;0.7948898575015071;0.2576420077873545;0.491848655876365
skipgram_6_160.kv;skipgram;6;160;-0.7620046926831789;0.7805958981643745;0.29023883696780894;0.5064054653544886
cbow_10_40.kv;cbow;10;40;-0.7171706907895812;0.7480760810838605;0.1540529934157934;0.406710277326891
cbow_9_300.kv;cbow;9;300;-0.7738374042611506;0.7941502744036965;0.1444798928956136;0.40661991273380804
glove_2_140.kv;glove;2;140;0.2010294693285613;0.268628070842165;0.29413130300108686;0.47900001314433904
cbow_6_260.kv;cbow;6;260;-0.7754012298202475;0.793214551561766;0.14114095563856469;0.4028785986688615
skipgram_2_80.kv;skipgram;2;80;-0.7748450658321786;0.7924579198872042;0.18402752543971423;0.4320910017979488
glove_4_20.kv;glove;4;20;0.1893333941570434;0.3311721829868829;0.2781395296256999;0.47180630545519947
skipgram_2_300.kv;skipgram;2;300;-0.7892450956449573;0.8060173612443;0.18139876842875344;0.4327747676160896
glove_15_240.kv;glove;15;240;0.2025881188606467;0.2680401550296187;0.3016065657960398;0.487948375642375
glove_4_300.kv;glove;4;300;0.20125283290665383;0.2655942428334544;0.2997905392201987;0.4984079998646921
cbow_2_1.kv;cbow;2;1;0.0407837316789266;0.9943112156347903;-0.0009479836371887341;0.3630087500006509
skipgram_9_40.kv;skipgram;9;40;-0.7269905510946564;0.7481450503065016;0.29546970409021833;0.5083181854288131
skipgram_8_60.kv;skipgram;8;60;-0.7393791401783413;0.7597526401501916;0.2846692312288743;0.5055819006858071
cbow_9_80.kv;cbow;9;80;-0.7417898140811473;0.7694045483910783;0.148910545550856;0.4041585882451975
glove_9_220.kv;glove;9;220;0.1929299812650773;0.26110459047834816;0.26407884898313816;0.4616133346776467
cbow_2_60.kv;cbow;2;60;-0.6557003731598924;0.7029219374033081;0.152820372442907;0.40912920116114687
cbow_8_160.kv;cbow;8;160;-0.7641941377940887;0.78453050474836;0.14495105852789608;0.40311095265104857
skipgram_5_120.kv;skipgram;5;120;-0.7657212774590828;0.7839998221618447;0.28102587333194445;0.496266240561594
skipgram_15_280.kv;skipgram;15;280;-0.7365511430689593;0.7569486044496843;0.3168639344712367;0.5091562836554832
skipgram_2_60.kv;skipgram;2;60;-0.767405097272166;0.7854231919115288;0.1919388284085018;0.4306634393610008
glove_6_80.kv;glove;6;80;0.2065718567357002;0.28592557631605003;0.3070195200651153;0.48495600443156694
glove_4_160.kv;glove;4;160;0.19970649047602623;0.2674724095844781;0.28830128438055647;0.4868677986901651
glove_4_200.kv;glove;4;200;0.1988468687437492;0.2665310237031713;0.29244406977288767;0.49561239267123713
skipgram_5_40.kv;skipgram;5;40;-0.7524102537988353;0.771689439812996;0.26961292552272337;0.49358507890092135
cbow_15_160.kv;cbow;15;160;-0.7631007996909205;0.7887069229901738;0.147623823297142;0.4074104729567477
skipgram_6_180.kv;skipgram;6;180;-0.7622766535675579;0.780953632084387;0.30323323788898415;0.5080588496200382
skipgram_4_140.kv;skipgram;4;140;-0.7731741948732541;0.7908816530153358;0.25364376163783153;0.48326346804017367
cbow_8_15.kv;cbow;8;15;-0.6421171184276154;0.6996753096711472;0.15719571259461668;0.4063686835469609
glove_2_20.kv;glove;2;20;0.19956432274940336;0.34474935118178013;0.29049036754956725;0.4821475538796359
skipgram_8_240.kv;skipgram;8;240;-0.7549579910272052;0.7742322289722671;0.2987646335889821;0.508111045970915
glove_4_100.kv;glove;4;100;0.19270000099486015;0.27103265991140824;0.2701834114168237;0.47190026316037126
skipgram_9_120.kv;skipgram;9;120;-0.7422690776837222;0.7624461168169329;0.3033967529541722;0.5117636638421363
cbow_9_240.kv;cbow;9;240;-0.7723272612592145;0.7910293361649714;0.14451703705856989;0.40762171386365
skipgram_10_240.kv;skipgram;10;240;-0.7473690302290811;0.7671547850592678;0.2990302951022999;0.5026845863090739
glove_7_80.kv;glove;7;80;0.20437947954280225;0.2821972915755248;0.3022961552561413;0.4782979100892245
cbow_3_140.kv;cbow;3;140;-0.7402002850270788;0.7647356155391681;0.14291014826980875;0.40304524444337314
skipgram_9_10.kv;skipgram;9;10;-0.7124833383186088;0.7341195367864198;0.29378206712111743;0.5013989569773732
cbow_8_260.kv;cbow;8;260;-0.7779634887052767;0.7955281522559742;0.1443188002758358;0.4053148747557872
glove_3_300.kv;glove;3;300;0.20682791284952476;0.2697257891029816;0.3212586541862279;0.504527825053429
glove_3_160.kv;glove;3;160;0.20325284783292452;0.26923643246476164;0.30564518603573265;0.4838837174891843
glove_9_300.kv;glove;9;300;0.19785071167100046;0.26424568442055896;0.2781690027115239;0.48338780185554997
skipgram_5_60.kv;skipgram;5;60;-0.7576575707636982;0.7763212314014852;0.2653138924014347;0.4905715561949633
cbow_4_280.kv;cbow;4;280;-0.7688793076649829;0.7874905027651036;0.14172153505520754;0.4035584697317273
skipgram_3_15.kv;skipgram;3;15;-0.7407799358639003;0.7603725440267244;0.22749709710291677;0.4619270512241147
glove_4_120.kv;glove;4;120;0.19333106481034878;0.26683886700538484;0.2688054437193258;0.4636227447992892
skipgram_15_80.kv;skipgram;15;80;-0.7222746152852257;0.7437123564439526;0.29726231369376094;0.4989952669420492
skipgram_8_280.kv;skipgram;8;280;-0.7556669672344222;0.7747989761593463;0.30464188989501123;0.5103913438376256
cbow_9_220.kv;cbow;9;220;-0.7733735497686056;0.792697058384749;0.14271271896887805;0.4064478270845276
skipgram_6_15.kv;skipgram;6;15;-0.7321628002271716;0.7526572114515454;0.2712496911382102;0.4983689497968184
skipgram_10_200.kv;skipgram;10;200;-0.7467424497957027;0.7663830116841199;0.3028533177004856;0.5068779981499245
skipgram_7_5.kv;skipgram;7;5;-0.7185587730645426;0.7400539948922678;0.27409727571789166;0.48056902030047904
cbow_9_60.kv;cbow;9;60;-0.7333875153913317;0.7584920366006076;0.15421973840819497;0.4066039677091237
cbow_15_20.kv;cbow;15;20;-0.6800363974473373;0.7222727731685299;0.15521172980366887;0.40380260293634135
glove_15_15.kv;glove;15;15;0.19480722431965392;0.3673717062446971;0.2879928263316586;0.4886398062167865
skipgram_9_1.kv;skipgram;9;1;-0.7834775435932352;0.8182057513124525;-0.20232869677281826;0.33337253587327337
cbow_5_10.kv;cbow;5;10;-0.5907760403335564;0.6673287259971924;0.16385662999084316;0.4154853016295238
cbow_2_240.kv;cbow;2;240;-0.7289464799694508;0.7621945740811849;0.13969515946958133;0.40833242342908066
skipgram_4_20.kv;skipgram;4;20;-0.7463027886940604;0.7655568756667795;0.2497056728826616;0.47942582600142114
glove_6_300.kv;glove;6;300;0.1999136292504781;0.26296127872905867;0.29356485451600345;0.48215219368808265
glove_8_200.kv;glove;8;200;0.19920289183038117;0.26303013405443665;0.28750631854511155;0.4817794800329329
skipgram_9_300.kv;skipgram;9;300;-0.7534273596006861;0.7728703951760988;0.30794166428459535;0.5104995653480195
skipgram_15_220.kv;skipgram;15;220;-0.7329389118433033;0.7536003410597848;0.3131450770256892;0.5100725518643865
skipgram_2_5.kv;skipgram;2;5;-0.673534293210751;0.7107558809023663;0.2110390029860677;0.42689743943939495
cbow_4_260.kv;cbow;4;260;-0.7664359790493168;0.7857031169182364;0.14035285339844866;0.4042014652863918
cbow_8_20.kv;cbow;8;20;-0.6750270611552948;0.7162797405780879;0.15341185286389572;0.4035108474037556
glove_7_5.kv;glove;7;5;0.19357575788662348;0.5134223612498472;0.2873472446298423;0.48295015505360783
glove_8_5.kv;glove;8;5;0.2077805134163616;0.5167667564368724;0.2976652471136563;0.47745151585363405
glove_2_10.kv;glove;2;10;0.19960865493229057;0.4169088903577102;0.2897490992540483;0.487506364946879
cbow_9_1.kv;cbow;9;1;-0.3169145575901247;0.9311094453548188;-0.07965363875525065;0.3778493967502341
glove_10_300.kv;glove;10;300;0.19688601606103928;0.25942220270591465;0.27700501769192626;0.4720556723693975
glove_4_15.kv;glove;4;15;0.20164352569384733;0.3586301467672686;0.29292209900049904;0.4763696882181222
cbow_9_260.kv;cbow;9;260;-0.7744773661226764;0.7929798223083084;0.1432513093317442;0.4051414999280168
skipgram_3_260.kv;skipgram;3;260;-0.7851665967497482;0.8021872455697548;0.22766787950433534;0.46072360854646655
cbow_4_240.kv;cbow;4;240;-0.7621420232447308;0.7815434670354968;0.14070976035555038;0.4039739198214095
cbow_3_300.kv;cbow;3;300;-0.7605870489290341;0.780075280515481;0.13849322280522408;0.40328778653891517
skipgram_6_260.kv;skipgram;6;260;-0.7667279828529556;0.7850980197749653;0.2928284311113049;0.5037967919922726
skipgram_7_100.kv;skipgram;7;100;-0.7511878288133739;0.7708667480728449;0.2874982437270776;0.5088844769507325
glove_9_160.kv;glove;9;160;0.2029515353638337;0.2689141318332657;0.30280850246039703;0.4784795228361064
glove_6_100.kv;glove;6;100;0.19682169440662284;0.2748472604111441;0.2852041879236251;0.4858444649766428
glove_7_220.kv;glove;7;220;0.2009849249116483;0.26895945223629303;0.3016711643403116;0.49707817571540275
cbow_7_240.kv;cbow;7;240;-0.7721316675513601;0.7912198872703646;0.144238052095496;0.4065359047803535
skipgram_10_140.kv;skipgram;10;140;-0.7414437663266333;0.761504073656341;0.2973055139702427;0.501839587377896
skipgram_8_100.kv;skipgram;8;100;-0.7450568125507915;0.7650175764453124;0.3024665339166582;0.5069547786085141
skipgram_3_220.kv;skipgram;3;220;-0.7839256510345634;0.800963143214254;0.22313952155088185;0.46138271418415916
cbow_6_300.kv;cbow;6;300;-0.7737733129995642;0.7920688255852208;0.13955788756300377;0.3994420131946462
cbow_2_40.kv;cbow;2;40;-0.6391971630430281;0.6845187837815702;0.14909263269752215;0.4050130385779265
cbow_2_220.kv;cbow;2;220;-0.7276053001914422;0.7533367286385831;0.1437200525186165;0.40881835900449265
cbow_6_20.kv;cbow;6;20;-0.6717860583544739;0.7127059986301623;0.15158654024731555;0.4044334647162487
cbow_6_160.kv;cbow;6;160;-0.7631713817639111;0.7826076241537068;0.14582192765286034;0.40710493408020054
glove_15_40.kv;glove;15;40;0.20519130870934885;0.3012988570258085;0.29857245291977347;0.4830088023329354
glove_7_140.kv;glove;7;140;0.20023437890466403;0.26957483757228734;0.2943852560282554;0.48464620968132205
cbow_4_300.kv;cbow;4;300;-0.7641446319188557;0.7848926007009549;0.14386136183421105;0.4079640895199031
glove_3_220.kv;glove;3;220;0.19710214415131608;0.2617885678893977;0.2790891282264954;0.46628709179088523
skipgram_4_280.kv;skipgram;4;280;-0.7786324323751728;0.7959533727592535;0.2690105440973888;0.48949691872638196
glove_5_140.kv;glove;5;140;0.20028092422834282;0.2710581826353805;0.29476598369855733;0.4904701042029509
cbow_15_60.kv;cbow;15;60;-0.7261799783127246;0.7558794760258956;0.15227088107569497;0.40530736114260124
cbow_15_240.kv;cbow;15;240;-0.7605668026772885;0.7903256377357222;0.1465353378261621;0.4048954982612736
skipgram_5_5.kv;skipgram;5;5;-0.7208753022536184;0.742708732701415;0.2520344504036601;0.4686580693227057
cbow_2_280.kv;cbow;2;280;-0.7295065441510667;0.755976349718477;0.14326907393141897;0.41094218960941864
glove_3_1.kv;glove;3;1;0.19630472701329674;1.0323379291373622;0.04217275588694609;0.35733770786726315
glove_15_260.kv;glove;15;260;0.19696738887178128;0.2629450512816229;0.2720547504961976;0.4786996053812541
cbow_4_220.kv;cbow;4;220;-0.7595870323952804;0.7792541449135737;0.1430869867847528;0.4069714407057459
glove_15_60.kv;glove;15;60;0.19645997625943107;0.2798375523524235;0.28058256582187924;0.4685268679370142
cbow_4_80.kv;cbow;4;80;-0.7239262357717713;0.7499884045913859;0.14959044522931672;0.40595656065846025
cbow_8_80.kv;cbow;8;80;-0.7392744723827654;0.7649551919787649;0.15075967888063643;0.4071198021353129
glove_5_1.kv;glove;5;1;0.22740892608017077;1.0515332325276978;0.04961693063246818;0.367395571395792
cbow_8_180.kv;cbow;8;180;-0.7688470588639251;0.788015820709233;0.14236994294333577;0.40388794367333836
glove_10_200.kv;glove;10;200;0.19937266723306604;0.2662762804301745;0.2886493090378208;0.47251308489639426
skipgram_4_1.kv;skipgram;4;1;-0.7119378857394248;0.8381292289291186;-0.1784692244460271;0.3465785317107858
cbow_8_5.kv;cbow;8;5;-0.5443478078352545;0.6573208111074299;0.1757286312052958;0.41672546404737715
cbow_3_180.kv;cbow;3;180;-0.7472800588949321;0.7696726797135055;0.1424187955924413;0.4040478435197609
glove_2_120.kv;glove;2;120;0.20202766960910157;0.277793991226348;0.2917161249271248;0.48530718201525425
glove_5_240.kv;glove;5;240;0.19769252010746147;0.2644372009445762;0.28375193190021464;0.4762417304710493
skipgram_10_160.kv;skipgram;10;160;-0.742668027005377;0.7628390842860016;0.3060594242008756;0.5077032306963963
cbow_9_20.kv;cbow;9;20;-0.6740577776024109;0.7168551519678974;0.15482050486992274;0.40514771339804306
skipgram_7_260.kv;skipgram;7;260;-0.7590614179197067;0.7779208208842182;0.318347278544078;0.5198410196135286
glove_5_200.kv;glove;5;200;0.19782803179966307;0.2655589468240549;0.28061163516680154;0.4766289568123248
skipgram_9_280.kv;skipgram;9;280;-0.7525350679643452;0.7719904076187529;0.31438940648472485;0.5091721285209023
glove_7_40.kv;glove;7;40;0.2028794819854843;0.30049743510999094;0.2958064240022351;0.47954408973676377
skipgram_15_60.kv;skipgram;15;60;-0.7179862242880021;0.7394958465155002;0.30150441934791;0.5020539310056485
cbow_2_20.kv;cbow;2;20;-0.5923305003198435;0.6563412970785878;0.15477811207524436;0.4082290761673549
cbow_10_80.kv;cbow;10;80;-0.7472343030226348;0.7718008483197927;0.1499089968007571;0.4078606354349376
cbow_6_120.kv;cbow;6;120;-0.7567605949253203;0.7768861993732838;0.14477744994016561;0.403676458167338
glove_2_100.kv;glove;2;100;0.191445385885963;0.2682278061026152;0.2609462233268573;0.44998535640019593
glove_7_120.kv;glove;7;120;0.2033686228224352;0.2751806614554483;0.29986846121422656;0.48383596400927653
skipgram_4_60.kv;skipgram;4;60;-0.7640253328747213;0.7824193174923216;0.25709211267924076;0.488095277716862
glove_4_280.kv;glove;4;280;0.2002671792958197;0.2641596329787159;0.2909926212312805;0.4895658208772621
cbow_2_140.kv;cbow;2;140;-0.7164580648783797;0.7430748894188204;0.13955586885849527;0.40169707168188973
glove_6_40.kv;glove;6;40;0.19224623338142657;0.30616806187015644;0.2787499858690684;0.4829359514998702
glove_9_200.kv;glove;9;200;0.20460411159075076;0.27073298162363024;0.3113682133173129;0.49951878976232167
glove_8_140.kv;glove;8;140;0.19931803064428605;0.27203627141940534;0.2903555180883999;0.48166448840352355
glove_2_40.kv;glove;2;40;0.1901676039744464;0.29439527304556695;0.2734411967526312;0.4680726668179396
cbow_3_200.kv;cbow;3;200;-0.7494748915983059;0.7714239122020201;0.14527526247196018;0.4102169544933427
glove_6_180.kv;glove;6;180;0.20574999614998246;0.27336031723930265;0.314299372263646;0.5037352034576886
glove_10_80.kv;glove;10;80;0.19293631129823177;0.2694462719582139;0.2731795726483303;0.454548188000922
skipgram_4_40.kv;skipgram;4;40;-0.7585380396379874;0.7773051390004824;0.2482606841954817;0.47965637859806975
cbow_2_5.kv;cbow;2;5;-0.4238228556862272;0.6085649263428797;0.18126351522668438;0.41723447089600696
skipgram_2_20.kv;skipgram;2;20;-0.7396511514439402;0.7603389555063834;0.19995308530722264;0.4348617417706678
glove_6_1.kv;glove;6;1;0.25229228533367;1.0418763915822753;0.05516352314000604;0.3596407746801033
skipgram_10_80.kv;skipgram;10;80;-0.7359117944029625;0.756538745908871;0.2842990008220165;0.49297483970360106
skipgram_2_140.kv;skipgram;2;140;-0.7819115523369128;0.7991513636220722;0.18271213758197957;0.4308232197928785
skipgram_9_200.kv;skipgram;9;200;-0.7492047279608229;0.7688366681925982;0.30307820138273184;0.5066561539400563
glove_3_20.kv;glove;3;20;0.1996890456610523;0.3361192097610271;0.2911852056413909;0.4782300857489082
glove_3_260.kv;glove;3;260;0.2045980736775008;0.2674350571128426;0.31499663280087986;0.49426824192895147
skipgram_2_280.kv;skipgram;2;280;-0.7882898855124474;0.8051379215562379;0.18096636192303406;0.4316926512314238
glove_5_10.kv;glove;5;10;0.21858723748302952;0.40782956940087384;0.30868172135740923;0.4948356512721376
skipgram_6_140.kv;skipgram;6;140;-0.7599768794480636;0.7787479954346413;0.2945140493758973;0.5036474643363176
glove_5_5.kv;glove;5;5;0.18510563962065946;0.5128000622498727;0.2832549268502234;0.48445999532094614
skipgram_3_60.kv;skipgram;3;60;-0.7703709388361784;0.7881594054222922;0.2259624779355597;0.4616383302107159
skipgram_9_100.kv;skipgram;9;100;-0.7414720114197403;0.761475178806661;0.3002108334988671;0.5013736552836632
skipgram_8_220.kv;skipgram;8;220;-0.7535124957050207;0.772991407641188;0.2875402327808543;0.5059900617527829
glove_6_5.kv;glove;6;5;0.18237853784264033;0.5137923307258478;0.279159379143391;0.4873381286486576
glove_9_20.kv;glove;9;20;0.20166897125673244;0.3461853779538091;0.2929992135127235;0.4877443897092125
glove_8_300.kv;glove;8;300;0.201947065245845;0.2645072051558783;0.30341371007204354;0.4966962412547952
cbow_3_120.kv;cbow;3;120;-0.7307913828182033;0.7556787869165823;0.14432768257567316;0.40330057470193964
skipgram_3_140.kv;skipgram;3;140;-0.7790348171213031;0.7962680033283979;0.21969278547307936;0.45850123069673354
glove_4_40.kv;glove;4;40;0.20020347562619278;0.3028385995726384;0.2912243685088557;0.4827170301345208
skipgram_5_10.kv;skipgram;5;10;-0.7309609309185012;0.7514920172002396;0.26060748471033207;0.4838829226437016
skipgram_5_280.kv;skipgram;5;280;-0.7723259213134287;0.7901523209173262;0.2790758047767393;0.501391984445657
glove_5_80.kv;glove;5;80;0.20490334987746114;0.277996616960887;0.30286704489114336;0.48135090818626447
cbow_10_60.kv;cbow;10;60;-0.729354928097721;0.756310691142969;0.15204276746623516;0.4043457873186459
skipgram_7_120.kv;skipgram;7;120;-0.7520983231335032;0.7713954827151042;0.28424207335487695;0.5058857297640544
skipgram_9_240.kv;skipgram;9;240;-0.7510178818810632;0.7703420844839812;0.3130106313054235;0.5051344247338747
cbow_9_100.kv;cbow;9;100;-0.7449298463667661;0.7703674838393476;0.14968209441400235;0.40560586160667333
cbow_15_200.kv;cbow;15;200;-0.7689686658036132;0.7904372487506681;0.1475838529478738;0.41040363374826305
skipgram_9_15.kv;skipgram;9;15;-0.7153982157792902;0.7370520676171762;0.2876419754880824;0.4961295816486809
cbow_6_100.kv;cbow;6;100;-0.7439715609346946;0.7679271147552229;0.14556191851216635;0.4039256667496929
glove_8_100.kv;glove;8;100;0.19495786140808832;0.2759606932224761;0.2758915002850411;0.48244732297438264
skipgram_10_20.kv;skipgram;10;20;-0.7138755873655307;0.7358032646537508;0.28958841037517224;0.49997630691212547
skipgram_2_120.kv;skipgram;2;120;-0.780304727820219;0.7975739343010628;0.17597370193262696;0.42921115081709404
cbow_3_260.kv;cbow;3;260;-0.7620431526960924;0.7810293934697962;0.14062335980258683;0.40441386986760375
skipgram_6_60.kv;skipgram;6;60;-0.7516773409966211;0.7710241054854876;0.27939072268006443;0.503932024972826
glove_4_220.kv;glove;4;220;0.19846555641731015;0.26348970656862186;0.28483153507135717;0.4698921110866736
skipgram_4_10.kv;skipgram;4;10;-0.7338390985458892;0.7541104634780805;0.2511046351070479;0.46964066629388534
glove_5_40.kv;glove;5;40;0.1902118640522542;0.29720111738915495;0.27355182175969667;0.4785380973978839
glove_9_100.kv;glove;9;100;0.20212529877397706;0.2789897405366493;0.29578058458452644;0.4884095311844502
cbow_8_240.kv;cbow;8;240;-0.7779912126517071;0.795747001672287;0.1425556637581172;0.4066848592365291
skipgram_3_80.kv;skipgram;3;80;-0.7749624826255925;0.792512999629658;0.2157760949856995;0.45395999191528696
glove_10_140.kv;glove;10;140;0.19920009324707497;0.2673729741134447;0.28811152615675806;0.46987699284661977
glove_5_160.kv;glove;5;160;0.2002051748193418;0.26932326012592034;0.2907790422942819;0.47119675429942787
cbow_5_260.kv;cbow;5;260;-0.7692436152398529;0.7884397889014639;0.1431911519373911;0.4065604504911482
glove_6_220.kv;glove;6;220;0.19731545296795833;0.26214376224680425;0.2780935031629062;0.4806777857556537
glove_10_60.kv;glove;10;60;0.18793723935762968;0.2764725461613289;0.2615526421612089;0.4643708263522382
glove_9_120.kv;glove;9;120;0.20631372196293685;0.2801269422924803;0.31313175357593315;0.5053256229879148
skipgram_15_160.kv;skipgram;15;160;-0.7300552064067688;0.7509055122666175;0.3008652975005208;0.5008336490187788
skipgram_9_140.kv;skipgram;9;140;-0.745894714902426;0.7657856698948092;0.3070974420591432;0.5105522273140384
skipgram_7_80.kv;skipgram;7;80;-0.7501396350642234;0.7698214044280922;0.2869858965228219;0.5055463905830386
glove_10_260.kv;glove;10;260;0.19492146630293847;0.261237237242912;0.26738589070895286;0.4621501027915377
cbow_5_60.kv;cbow;5;60;-0.7197713001101085;0.7473319440437663;0.14863761670130765;0.40374491487409686
cbow_4_1.kv;cbow;4;1;-0.26403741917643886;0.942419406356956;-0.07183842612106736;0.3754512306509215
cbow_6_200.kv;cbow;6;200;-0.7643012861579275;0.7837620914242085;0.14179420841751328;0.40143448045852487
glove_7_100.kv;glove;7;100;0.20148982415519817;0.2803918747732759;0.2942883582118477;0.49831504426290596
skipgram_8_40.kv;skipgram;8;40;-0.7338906625889728;0.7541372294238433;0.2842521668774194;0.5022408352180979
cbow_15_1.kv;cbow;15;1;-0.33557707703024914;0.9263739647279895;-0.08469111398574632;0.380892874287499
